L	N	s	q	mu	r	rep	mean	max
10	1000	1	0.5	1	0.01	0	0.761381	0.842396
10	1000	1	0.5	1	0.01	1	0.761975	0.843934
10	1000	1	0.5	1	0.01	2	0.761246	0.842282
10	1000	1	0.5	1	0.01	3	0.761792	0.843757
10	1000	1	0.5	1	0.01	4	0.761014	0.842342
10	1000	1	0.5	0.33	0.01	0	0.805659	0.871625
10	1000	1	0.5	0.33	0.01	1	0.805619	0.872135
10	1000	1	0.5	0.33	0.01	2	0.805171	0.871065
10	1000	1	0.5	0.33	0.01	3	0.805206	0.871689
10	1000	1	0.5	0.33	0.01	4	0.805941	0.872619
10	1000	1	0.5	0.1	0.01	0	0.847436	0.898163
10	1000	1	0.5	0.1	0.01	1	0.846812	0.897089
10	1000	1	0.5	0.1	0.01	2	0.846093	0.897218
10	1000	1	0.5	0.1	0.01	3	0.846466	0.896623
10	1000	1	0.5	0.1	0.01	4	0.846744	0.897668
10	1000	1	0.5	0.033	0.01	0	0.957355	0.990042
10	1000	1	0.5	0.033	0.01	1	0.957268	0.990042
10	1000	1	0.5	0.033	0.01	2	0.95717	0.990042
10	1000	1	0.5	0.033	0.01	3	0.956928	0.990042
10	1000	1	0.5	0.033	0.01	4	0.957315	0.990042
10	1000	1	0.5	0.01	0.01	0	0.979982	0.990042
10	1000	1	0.5	0.01	0.01	1	0.980114	0.990042
10	1000	1	0.5	0.01	0.01	2	0.98013	0.990042
10	1000	1	0.5	0.01	0.01	3	0.980066	0.990042
10	1000	1	0.5	0.01	0.01	4	0.980047	0.990042
10	1000	1	0.5	0.0033	0.01	0	0.986772	0.990042
10	1000	1	0.5	0.0033	0.01	1	0.986834	0.990042
10	1000	1	0.5	0.0033	0.01	2	0.98671	0.990042
10	1000	1	0.5	0.0033	0.01	3	0.986763	0.990042
10	1000	1	0.5	0.0033	0.01	4	0.986743	0.990042
10	1000	1	0.5	0.001	0.01	0	0.98904	0.990042
10	1000	1	0.5	0.001	0.01	1	0.989056	0.990042
10	1000	1	0.5	0.001	0.01	2	0.989031	0.990042
10	1000	1	0.5	0.001	0.01	3	0.989029	0.990042
10	1000	1	0.5	0.001	0.01	4	0.989048	0.990042
