L	N	s	q	mu	r	rep	mean	max
10	1000	1	1	1	0.01	0	0.908642	0.959884
10	1000	1	1	1	0.01	1	0.909391	0.961194
10	1000	1	1	1	0.01	2	0.908247	0.95985
10	1000	1	1	1	0.01	3	0.909023	0.96088
10	1000	1	1	1	0.01	4	0.908253	0.96005
10	1000	1	1	0.33	0.01	0	0.936484	0.971329
10	1000	1	1	0.33	0.01	1	0.936302	0.971652
10	1000	1	1	0.33	0.01	2	0.936117	0.971101
10	1000	1	1	0.33	0.01	3	0.936178	0.971551
10	1000	1	1	0.33	0.01	4	0.936628	0.971875
10	1000	1	1	0.1	0.01	0	0.957434	0.980274
10	1000	1	1	0.1	0.01	1	0.956975	0.979202
10	1000	1	1	0.1	0.01	2	0.955924	0.979008
10	1000	1	1	0.1	0.01	3	0.956898	0.979415
10	1000	1	1	0.1	0.01	4	0.95666	0.9795
10	1000	1	1	0.033	0.01	0	0.969582	0.984232
10	1000	1	1	0.033	0.01	1	0.969809	0.984163
10	1000	1	1	0.033	0.01	2	0.970477	0.985027
10	1000	1	1	0.033	0.01	3	0.969592	0.984285
10	1000	1	1	0.033	0.01	4	0.970029	0.984488
10	1000	1	1	0.01	0.01	0	0.980591	0.98891
10	1000	1	1	0.01	0.01	1	0.980215	0.988725
10	1000	1	1	0.01	0.01	2	0.98104	0.989159
10	1000	1	1	0.01	0.01	3	0.980514	0.988904
10	1000	1	1	0.01	0.01	4	0.979345	0.988174
10	1000	1	1	0.0033	0.01	0	0.98618	0.990377
10	1000	1	1	0.0033	0.01	1	0.985979	0.990168
10	1000	1	1	0.0033	0.01	2	0.986523	0.990975
10	1000	1	1	0.0033	0.01	3	0.984907	0.989516
10	1000	1	1	0.0033	0.01	4	0.989303	0.993116
10	1000	1	1	0.001	0.01	0	0.993956	0.995009
10	1000	1	1	0.001	0.01	1	0.993986	0.995009
10	1000	1	1	0.001	0.01	2	0.994009	0.995009
10	1000	1	1	0.001	0.01	3	0.994071	0.995009
10	1000	1	1	0.001	0.01	4	0.993793	0.995009
