time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
1500000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995709
1501000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995610
1502000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995610
1503000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995830
1504000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995899
1505000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995809
1506000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995527
1507000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995510
1508000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995464
1509000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995535
1510000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995416
1511000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995510
1512000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995503
1513000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995428
1514000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995311
1515000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995309
1516000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995288
1517000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995282
1518000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995308
1519000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995211
1520000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995115
1521000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995010
1522000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995012
1523000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995016
1524000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995112
1525000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995009
1526000	0.0000000000	0.0001000000	0.0010000000	100	100	0	0.995067
