time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
1500000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.543010
1501000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.525723
1502000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.521859
1503000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.512182
1504000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.497526
1505000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.481563
1506000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.478574
1507000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.488492
1508000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.504623
1509000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.490473
1510000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.492870
1511000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.482988
1512000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.534633
1513000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.490791
1514000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.509992
1515000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.492417
1516000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.490381
1517000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.547149
1518000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.503042
1519000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.464228
1520000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.458349
1521000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.476662
1522000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.517947
1523000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.490529
1524000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.513288
1525000	-0.2000000000	0.0100000000	1.0000000000	100	100	0	0.490206
