time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
1500000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.671231
1501000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.663999
1502000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.658524
1503000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.651186
1504000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.666218
1505000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.673418
1506000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.673709
1507000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.659437
1508000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.656087
1509000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.664639
1510000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.643774
1511000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.668609
1512000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.662019
1513000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.663745
1514000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.700022
1515000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.674529
1516000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.652192
1517000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.667911
1518000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.649568
1519000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.657162
1520000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.658295
1521000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.632170
1522000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.645262
1523000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.655155
1524000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.645409
1525000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.644255
1526000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.643314
1527000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.666620
1528000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.648278
1529000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.656358
1530000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.661054
1531000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.650414
1532000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.675608
1533000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.682603
1534000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.648762
1535000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.680293
1536000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.657052
1537000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.672755
1538000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.687256
1539000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.679079
1540000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.640655
1541000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.630238
1542000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.647783
1543000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.653013
1544000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.667061
1545000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.695097
1546000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.692626
1547000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.655090
1548000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.668023
1549000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.646137
1550000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.644713
1551000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.686166
1552000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.681702
1553000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.677560
1554000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.646078
1555000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.664714
1556000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.640422
1557000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.668918
1558000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.652643
1559000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.705775
1560000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.665849
1561000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.663143
1562000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.651669
1563000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.659781
1564000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.658021
1565000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.662933
1566000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.653687
1567000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.651424
1568000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.646852
1569000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.701873
1570000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.651516
1571000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.666353
1572000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.646546
1573000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.670860
1574000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.650852
1575000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.633538
1576000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.663007
1577000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.671398
1578000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.692503
1579000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.656950
1580000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.637757
1581000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.667556
1582000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.667637
1583000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.667028
1584000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.629003
1585000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.664007
1586000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.647339
1587000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.653019
1588000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.671997
1589000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.676202
1590000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.654860
1591000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.643288
1592000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.692207
1593000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.669206
1594000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.644973
1595000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.656525
1596000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.670926
1597000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.672444
1598000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.631200
1599000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.623672
1600000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.665096
1601000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.661566
1602000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.667673
1603000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.655378
1604000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.674194
1605000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.636803
1606000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.653776
1607000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.668795
1608000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.657984
1609000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.627803
1610000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.667109
1611000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.672709
1612000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.689636
1613000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.642628
1614000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.665657
1615000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.647816
1616000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.647177
1617000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.660061
1618000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.665505
1619000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.643581
1620000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.653464
1621000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.660368
1622000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.655140
1623000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.664577
1624000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.653313
1625000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.641955
1626000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.644704
1627000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.630274
1628000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.658742
1629000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.662035
1630000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.643522
1631000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.676795
1632000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.643231
1633000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.646407
1634000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.666207
1635000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.675427
1636000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.639859
1637000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.671583
1638000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.654627
1639000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.668256
1640000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.649711
1641000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.670988
1642000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.664663
1643000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.674577
1644000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.652576
1645000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.653989
