time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
2000000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.431279
2001000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.382510
2002000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.508648
2003000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.535261
2004000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.508648
2005000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.406570
2006000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.454046
2007000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.456576
2008000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.456576
2009000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.456576
2010000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.406570
2011000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.382510
2012000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.387322
2013000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.382510
2014000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.406570
2015000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.359155
2016000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.431279
2017000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.487642
2018000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.535261
2019000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.562142
2020000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.589194
2021000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.508648
2022000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.482391
2023000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.487642
2024000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.456576
2025000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.506022
2026000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.459158
2027000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.431279
2028000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.441398
2029000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.551390
2030000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.589194
2031000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.586489
2032000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.508648
2033000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.535261
2034000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.482391
2035000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.482391
2036000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.543326
2037000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.562142
2038000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.562142
2039000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.562142
2040000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.562142
2041000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.643393
2042000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.479810
2043000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.572963
2044000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.535261
2045000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.495519
2046000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.508648
2047000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.508648
2048000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.431279
2049000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.406570
2050000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.273624
2051000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.252523
2052000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.409041
2053000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.416453
2054000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.479810
2055000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.456835
2056000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.401758
2057000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.406570
2058000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.382510
2059000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.382510
2060000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.482391
2061000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.482391
2062000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.431279
2063000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.431279
2064000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.469484
2065000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.404164
2066000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.336553
2067000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.485017
2068000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.433809
2069000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.472065
2070000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.562142
2071000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.508648
2072000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.456576
2073000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.482391
2074000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.334372
2075000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.459158
2076000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.575668
2077000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.519293
2078000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.535261
2079000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.508648
2080000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.562142
2081000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.456576
2082000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.506022
2083000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.508648
2084000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.586489
2085000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.524616
2086000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.431462
2087000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.485017
2088000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.454046
2089000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.456576
2090000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.524643
2091000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.406570
2092000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.513970
2093000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.616313
2094000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.546014
2095000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.670320
2096000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.581078
2097000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.589194
2098000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.562142
2099000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.479810
2100000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.535288
2101000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.508648
2102000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.643393
2103000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.616313
2104000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.608177
2105000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.589194
2106000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.643393
2107000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.562142
2108000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.589194
2109000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.589194
2110000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.559454
2111000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.535261
2112000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.567553
2113000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.456576
2114000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.416583
2115000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.413982
2116000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.482391
2117000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.409041
2118000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.406570
2119000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.482391
2120000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.431279
2121000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.456576
2122000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.616313
2123000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.664935
2124000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.696979
2125000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.589194
2126000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.562159
2127000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.506022
2128000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.535261
2129000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.589194
2130000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.562142
2131000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.624437
2132000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.498145
2133000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.406570
2134000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.380175
2135000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.382510
2136000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.359155
2137000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.235982
2138000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.265919
2139000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.254361
2140000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.254361
2141000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.293758
2142000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.431279
2143000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.456628
2144000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.535261
2145000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.578373
2146000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.559471
2147000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.490268
2148000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.474647
2149000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.456576
2150000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.382510
2151000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.316924
2152000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.269772
2153000	-1.0000000000	0.0010000000	0.0100000000	10	100	0	0.416453
