time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
1500000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.891808
1501000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.879905
1502000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.904087
1503000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.912254
1504000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.901842
1505000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.910551
1506000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.924794
1507000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.915984
1508000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.932858
1509000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.935414
1510000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.926708
1511000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.905777
1512000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.906176
1513000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.884862
1514000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.923572
1515000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.929536
1516000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.932482
1517000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.943838
1518000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.933457
1519000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.927056
1520000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.915067
1521000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.903206
1522000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.911422
1523000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.903241
1524000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.910252
1525000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.903977
1526000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.933611
1527000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.923082
1528000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.927982
1529000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.913666
1530000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.927088
1531000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.919457
1532000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.880516
1533000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.859607
1534000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.898318
1535000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.903970
1536000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.909000
1537000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.934216
1538000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.909354
1539000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.900913
1540000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.884376
1541000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.899047
1542000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.906609
1543000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.891477
1544000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.885335
1545000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.890106
1546000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.885600
1547000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.881502
1548000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.903023
1549000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.901655
1550000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.915528
1551000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.896264
1552000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.872510
1553000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.889239
1554000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.890450
1555000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.848471
1556000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.892993
1557000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.880401
1558000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.890543
1559000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.857527
1560000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.884138
1561000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.854893
1562000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.865064
1563000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.828546
1564000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.850143
1565000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.912739
1566000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.912914
1567000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.913077
1568000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.914197
1569000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.915246
1570000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.928384
1571000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.934536
1572000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.893004
1573000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.879730
1574000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.904005
1575000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.909531
1576000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.918931
1577000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.938217
1578000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.918389
1579000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.913583
1580000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.924600
1581000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.910965
1582000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.916179
1583000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.883885
1584000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.874722
1585000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.870863
1586000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.877907
1587000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.910507
1588000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.912254
1589000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.916091
1590000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.911938
1591000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.895349
1592000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.900587
1593000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.915232
1594000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.918967
1595000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.915115
1596000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.906926
1597000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.911026
1598000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.902464
1599000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.905615
1600000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.876039
1601000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.860979
1602000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.832317
1603000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.838586
1604000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.833837
1605000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.856059
1606000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.856049
1607000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.857818
1608000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.866521
1609000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.848753
1610000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.866718
1611000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.880601
1612000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.874677
1613000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.878325
1614000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.903056
1615000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.880066
1616000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.885594
1617000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.867522
1618000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.871553
1619000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.883000
1620000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.902409
1621000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.910660
1622000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.909747
1623000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.897598
1624000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.901237
1625000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.913945
1626000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.901905
1627000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.932878
1628000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.903833
1629000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.880401
1630000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.892269
1631000	-0.6000000000	0.0010000000	0.0100000000	100	100	0	0.885101
