time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
1500000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997766
1501000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997765
1502000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997765
1503000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997767
1504000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997767
1505000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997768
1506000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997758
1507000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997756
1508000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997766
1509000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997765
1510000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997758
1511000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997758
1512000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997758
1513000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997769
1514000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997766
1515000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997758
1516000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997765
1517000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997774
1518000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997770
1519000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997775
1520000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997785
1521000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997791
1522000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997782
1523000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997792
1524000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997772
1525000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997774
1526000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997777
1527000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997774
1528000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997764
1529000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997764
1530000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997782
1531000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997757
1532000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997755
1533000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997756
1534000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997751
1535000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997735
1536000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997735
1537000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997736
1538000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997727
1539000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997735
1540000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997727
1541000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997742
1542000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997742
1543000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997750
1544000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997750
1545000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997742
1546000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997742
1547000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997747
1548000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997745
1549000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997742
1550000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997735
1551000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997735
1552000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997742
1553000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997742
1554000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997750
1555000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997750
1556000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997761
1557000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997744
1558000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997765
1559000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997758
1560000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997769
1561000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997774
1562000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997765
1563000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997756
1564000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997766
1565000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997766
1566000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997768
1567000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997782
1568000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997783
1569000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997798
1570000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997798
1571000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997793
1572000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997790
1573000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997790
1574000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997790
1575000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997789
1576000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997788
1577000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997797
1578000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997791
1579000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997782
1580000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997782
1581000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997789
1582000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997798
1583000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997798
1584000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997798
1585000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997800
1586000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997797
1587000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997799
1588000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997807
1589000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997804
1590000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997799
1591000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997807
1592000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997806
1593000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997807
1594000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997816
1595000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997815
1596000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997816
1597000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997816
1598000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997815
1599000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997816
1600000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997816
1601000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997824
1602000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997833
1603000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997816
1604000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997812
1605000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997824
1606000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997830
1607000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997843
1608000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997828
1609000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997824
1610000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997816
1611000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997816
1612000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997807
1613000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997803
1614000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997807
1615000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997798
1616000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997816
1617000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997808
1618000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997798
1619000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997803
1620000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997807
1621000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997816
1622000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997818
1623000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997798
1624000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997790
1625000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997791
1626000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997790
1627000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997782
1628000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997816
1629000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997816
1630000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997808
1631000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997807
1632000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997807
1633000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997790
1634000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997803
1635000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997790
1636000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997791
1637000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997795
1638000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997779
1639000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997774
1640000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997782
1641000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997783
1642000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997791
1643000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997793
1644000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997798
1645000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997798
1646000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997790
1647000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997799
1648000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997799
1649000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997807
1650000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997807
1651000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997818
1652000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997797
1653000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997801
1654000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997807
1655000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997798
1656000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997796
1657000	0.8000000000	0.0010000000	0.0010000000	100	100	0	0.997799
