time,sel_coef,mu_prob,Ne,L,k_start,q_prob,mean_fitness,epistasis_coef
0,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.39991159
1000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.40431949
2000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.40090426
3000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.40254141
4000,0.00100,0.00010,100,100,0,0.0100,0.99964018,1.40333559
5000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.40076256
6000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.39891170
7000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.39895701
8000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.40114451
9000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.40352966
10000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.39807263
11000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.40312738
12000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.40330052
13000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.41269673
14000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.41195955
15000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.41282324
16000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.41932333
17000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.42246527
18000,0.00100,0.00010,100,100,0,0.0100,0.99999000,1.42880001
19000,0.00100,0.00010,100,100,0,0.0100,0.99997001,1.43029911
20000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.42762629
21000,0.00100,0.00010,100,100,0,0.0100,1.00000000,1.42891973
22000,0.00100,0.00010,100,100,0,0.0100,0.99900050,1.43161421
23000,0.00100,0.00010,100,100,0,0.0100,0.99900050,1.43156103
24000,0.00100,0.00010,100,100,0,0.0100,0.99900050,1.43827411
25000,0.00100,0.00010,100,100,0,0.0100,0.99900050,1.43756610
26000,0.00100,0.00010,100,100,0,0.0100,0.99900050,1.43745301
27000,0.00100,0.00010,100,100,0,0.0100,0.99888541,1.43844624
28000,0.00100,0.00010,100,100,0,0.0100,0.99724951,1.44020639
29000,0.00100,0.00010,100,100,0,0.0100,0.99724041,1.44401002
30000,0.00100,0.00010,100,100,0,0.0100,0.99721859,1.45421080
31000,0.00100,0.00010,100,100,0,0.0100,0.99722730,1.44924465
32000,0.00100,0.00010,100,100,0,0.0100,0.99723234,1.44536684
33000,0.00100,0.00010,100,100,0,0.0100,0.99723788,1.44253160
34000,0.00100,0.00010,100,100,0,0.0100,0.99725156,1.43549357
35000,0.00100,0.00010,100,100,0,0.0100,0.99723526,1.44218230
36000,0.00100,0.00010,100,100,0,0.0100,0.99722030,1.44781836
37000,0.00100,0.00010,100,100,0,0.0100,0.99722466,1.44512104
38000,0.00100,0.00010,100,100,0,0.0100,0.99720941,1.45313817
39000,0.00100,0.00010,100,100,0,0.0100,0.99719271,1.45753046
40000,0.00100,0.00010,100,100,0,0.0100,0.99714203,1.46146592
41000,0.00100,0.00010,100,100,0,0.0100,0.99718663,1.46051659
42000,0.00100,0.00010,100,100,0,0.0100,0.99716708,1.46881834
43000,0.00100,0.00010,100,100,0,0.0100,0.99716604,1.46749148
44000,0.00100,0.00010,100,100,0,0.0100,0.99467241,1.46324752
45000,0.00100,0.00010,100,100,0,0.0100,0.99460284,1.46892529
46000,0.00100,0.00010,100,100,0,0.0100,0.99463566,1.46630006
47000,0.00100,0.00010,100,100,0,0.0100,0.99462520,1.46705225
48000,0.00100,0.00010,100,100,0,0.0100,0.99428777,1.46935427
49000,0.00100,0.00010,100,100,0,0.0100,0.99461430,1.46980001
50000,0.00100,0.00010,100,100,0,0.0100,0.99459857,1.46603847
51000,0.00100,0.00010,100,100,0,0.0100,0.99462037,1.46842817
52000,0.00100,0.00010,100,100,0,0.0100,0.99467437,1.46052763
53000,0.00100,0.00010,100,100,0,0.0100,0.99469582,1.45359945
54000,0.00100,0.00010,100,100,0,0.0100,0.99467452,1.45594944
55000,0.00100,0.00010,100,100,0,0.0100,0.99468892,1.45054247
56000,0.00100,0.00010,100,100,0,0.0100,0.99469152,1.45306489
57000,0.00100,0.00010,100,100,0,0.0100,0.99471171,1.45323109
58000,0.00100,0.00010,100,100,0,0.0100,0.99470230,1.45367646
59000,0.00100,0.00010,100,100,0,0.0100,0.99473771,1.45039513
60000,0.00100,0.00010,100,100,0,0.0100,0.99161936,1.45327071
61000,0.00100,0.00010,100,100,0,0.0100,0.99159082,1.45657877
62000,0.00100,0.00010,100,100,0,0.0100,0.99158082,1.45512464
63000,0.00100,0.00010,100,100,0,0.0100,0.99172489,1.44395250
64000,0.00100,0.00010,100,100,0,0.0100,0.99164422,1.44953618
65000,0.00100,0.00010,100,100,0,0.0100,0.99161696,1.44552377
66000,0.00100,0.00010,100,100,0,0.0100,0.99149351,1.45546116
67000,0.00100,0.00010,100,100,0,0.0100,0.98775206,1.45019287
68000,0.00100,0.00010,100,100,0,0.0100,0.98368223,1.44466340
69000,0.00100,0.00010,100,100,0,0.0100,0.98338010,1.44990948
70000,0.00100,0.00010,100,100,0,0.0100,0.98312611,1.45024520
71000,0.00100,0.00010,100,100,0,0.0100,0.98313451,1.44288891
72000,0.00100,0.00010,100,100,0,0.0100,0.98303415,1.44770061
73000,0.00100,0.00010,100,100,0,0.0100,0.98355962,1.44075335
74000,0.00100,0.00010,100,100,0,0.0100,0.98353542,1.43554242
75000,0.00100,0.00010,100,100,0,0.0100,0.98358003,1.43643710
76000,0.00100,0.00010,100,100,0,0.0100,0.97815588,1.43944485
77000,0.00100,0.00010,100,100,0,0.0100,0.97875101,1.43145851
78000,0.00100,0.00010,100,100,0,0.0100,0.97853490,1.42942133
79000,0.00100,0.00010,100,100,0,0.0100,0.97894151,1.42340360
80000,0.00100,0.00010,100,100,0,0.0100,0.97863399,1.42311359
81000,0.00100,0.00010,100,100,0,0.0100,0.97880186,1.41865318
82000,0.00100,0.00010,100,100,0,0.0100,0.97820542,1.41992924
83000,0.00100,0.00010,100,100,0,0.0100,0.97848389,1.41699284
84000,0.00100,0.00010,100,100,0,0.0100,0.97793906,1.42325685
85000,0.00100,0.00010,100,100,0,0.0100,0.97777589,1.41778308
86000,0.00100,0.00010,100,100,0,0.0100,0.97795931,1.41800504
87000,0.00100,0.00010,100,100,0,0.0100,0.97856449,1.40815403
88000,0.00100,0.00010,100,100,0,0.0100,0.97847032,1.40649427
89000,0.00100,0.00010,100,100,0,0.0100,0.97813488,1.40703354
90000,0.00100,0.00010,100,100,0,0.0100,0.97736496,1.40418048
91000,0.00100,0.00010,100,100,0,0.0100,0.97857865,1.39435907
