time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
1500000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.954090
1501000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.960971
1502000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.956260
1503000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.958082
1504000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.954690
1505000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.948100
1506000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.943629
1507000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.940721
1508000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.937717
1509000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.934071
1510000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.934071
1511000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.934071
1512000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.934071
1513000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.934071
1514000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.934336
1515000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.933774
1516000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.921079
1517000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.926665
1518000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.914688
1519000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.908803
1520000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.911148
1521000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.911148
1522000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.903064
1523000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.902567
1524000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.902402
1525000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.902567
1526000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.911148
1527000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.903064
1528000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.902733
1529000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.903064
1530000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.903064
1531000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.911148
1532000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.903064
1533000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.901658
1534000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.903873
1535000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.903064
1536000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.902650
1537000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.921848
1538000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.919019
1539000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.926665
1540000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.924295
1541000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.925671
1542000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.925977
1543000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.933923
1544000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.934071
1545000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.933848
1546000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.941221
1547000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.933848
1548000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.933997
1549000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.941221
1550000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.941007
1551000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.942666
1552000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.941150
1553000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.941150
1554000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.948100
1555000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.947343
1556000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.948100
1557000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.954690
1558000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.954294
1559000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.954624
1560000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.952910
1561000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.948031
1562000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.948094
1563000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.948100
1564000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.948100
1565000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.934071
1566000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.934071
1567000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.930590
1568000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.934071
1569000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.934071
1570000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.934071
1571000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.934071
1572000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.934071
1573000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.941221
1574000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.939934
1575000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.948031
1576000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.931405
1577000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.926665
1578000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.926665
1579000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.926512
1580000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.926586
1581000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.918783
1582000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.910743
1583000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.913790
1584000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.919019
1585000	-0.6000000000	0.0010000000	0.0010000000	100	100	0	0.926665
