time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
1500000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.376020
1501000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.233096
1502000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.358734
1503000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.184176
1504000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.311308
1505000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.385674
1506000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.304142
1507000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.477408
1508000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.274112
1509000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.252751
1510000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.400770
1511000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.354860
1512000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.250674
1513000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.367713
1514000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.329584
1515000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.344097
1516000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.465409
1517000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.325460
1518000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.352967
1519000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.473187
1520000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.284509
1521000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.328740
1522000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.304309
1523000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.246021
1524000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.371041
1525000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.447629
1526000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.432566
1527000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.218220
1528000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.282853
1529000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.297951
1530000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.332918
1531000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.309707
1532000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.329379
1533000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.279645
1534000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.290916
1535000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.305208
1536000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.330666
1537000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.397890
1538000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.303047
1539000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.325918
1540000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.326802
1541000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.364921
1542000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.371814
1543000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.297393
1544000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.349411
1545000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.300750
1546000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.298492
1547000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.305208
1548000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.322744
1549000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.406250
1550000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.241947
1551000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.297952
1552000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.419153
1553000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.347949
1554000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.297957
1555000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.253648
1556000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.298007
1557000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.373715
1558000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.316475
1559000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.340732
1560000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.363607
1561000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.384982
1562000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.222262
1563000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.317412
1564000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.310419
1565000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.288687
1566000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.368860
1567000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.359357
1568000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.251004
1569000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.356756
1570000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.271957
1571000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.401066
1572000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.269458
1573000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.327251
1574000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.268629
1575000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.292178
1576000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.252600
1577000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.304446
1578000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.248403
1579000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.337820
1580000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.307644
1581000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.331371
1582000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.342263
1583000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.288804
1584000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.399463
1585000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.352506
1586000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.344349
1587000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.316101
1588000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.287358
1589000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.340405
1590000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.397280
1591000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.221272
1592000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.295245
1593000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.331665
1594000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.244287
1595000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.259608
1596000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.558895
1597000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.393470
1598000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.354169
1599000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.345311
1600000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.287996
1601000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.432722
1602000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.292788
1603000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.293686
1604000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.292655
1605000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.334153
1606000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.354443
1607000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.303960
1608000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.281323
1609000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.396789
1610000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.423329
1611000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.294828
1612000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.260379
1613000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.226605
1614000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.408572
1615000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.281874
1616000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.394640
1617000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.304649
1618000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.452997
1619000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.288675
1620000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.330453
1621000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.260624
1622000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.261230
1623000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.254243
1624000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.377019
1625000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.278420
1626000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.389419
1627000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.418036
1628000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.230560
1629000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.325552
1630000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.483244
1631000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.217084
1632000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.247300
1633000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.362570
1634000	-1.0000000000	0.0100000000	1.0000000000	100	100	0	0.281274
