time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
1500000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.668107
1501000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.672497
1502000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.671656
1503000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.644080
1504000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.680369
1505000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.673285
1506000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.680221
1507000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.646603
1508000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.644558
1509000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.659084
1510000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.666715
1511000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.643431
1512000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.651590
1513000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.663749
1514000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.647453
1515000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.699225
1516000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.670899
1517000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.665177
1518000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.652975
1519000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.682475
1520000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.653041
1521000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.678364
1522000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.667053
1523000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.657595
1524000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.656041
1525000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.675470
1526000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.697962
1527000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.673510
1528000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.649045
1529000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.639332
1530000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.672167
1531000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.653533
1532000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.637887
1533000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.658933
1534000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.673028
1535000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.685948
1536000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.674309
1537000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.658993
1538000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.675153
1539000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.662603
1540000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.667190
1541000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.656287
1542000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.642530
1543000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.650330
1544000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.651524
1545000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.663176
1546000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.662220
1547000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.662479
1548000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.643910
1549000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.664886
1550000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.678317
1551000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.641800
1552000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.636913
1553000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.663921
1554000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.644191
1555000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.635560
1556000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.649150
1557000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.645800
1558000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.676419
1559000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.702482
1560000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.659451
1561000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.664821
1562000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.648999
1563000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.652645
1564000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.645695
1565000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.662038
1566000	0.0000000000	0.0100000000	1.0000000000	100	100	0	0.638385
