time	epistasis_coef	sel_coef	mu_prob	Ne	L	k_start	mean_fitness
2000000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997759
2001000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997789
2002000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997908
2003000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997797
2004000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997760
2005000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997819
2006000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997774
2007000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997767
2008000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997826
2009000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997885
2010000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997821
2011000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997824
2012000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997842
2013000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997870
2014000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997840
2015000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997819
2016000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997809
2017000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997810
2018000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997916
2019000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997918
2020000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997810
2021000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997831
2022000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997810
2023000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997862
2024000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997924
2025000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997795
2026000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997831
2027000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997751
2028000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997830
2029000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997764
2030000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997870
2031000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997849
2032000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997853
2033000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997829
2034000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997817
2035000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997809
2036000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997851
2037000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997843
2038000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997826
2039000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997734
2040000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997818
2041000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997806
2042000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997866
2043000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997790
2044000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997764
2045000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997852
2046000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997793
2047000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997809
2048000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997824
2049000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997766
2050000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997773
2051000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997764
2052000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997775
2053000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997824
2054000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997827
2055000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997805
2056000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997755
2057000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997853
2058000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997739
2059000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997887
2060000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997771
2061000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997806
2062000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997815
2063000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997783
2064000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997864
2065000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997827
2066000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997876
2067000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997852
2068000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997823
2069000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997818
2070000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997803
2071000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997848
2072000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997793
2073000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997749
2074000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997750
2075000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997793
2076000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997772
2077000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997849
2078000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997759
2079000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997844
2080000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997816
2081000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997785
2082000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997850
2083000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997892
2084000	0.8000000000	0.0010000000	0.1000000000	10	100	0	0.997799
